Harvest a Field
# first street, first avenue, num streets, num avenues showing 
0 0 12 12
# intersection size (in pixels) 
38
#things
   becker.robots.Wall 1 1 Direction.NORTH
   becker.robots.Wall 1 2 Direction.NORTH
   becker.robots.Wall 1 3 Direction.NORTH
   becker.robots.Wall 1 4 Direction.NORTH
   becker.robots.Wall 1 5 Direction.NORTH
   becker.robots.Wall 1 6 Direction.NORTH
   becker.robots.Wall 1 7 Direction.NORTH
   becker.robots.Wall 1 8 Direction.NORTH
   becker.robots.Wall 1 9 Direction.NORTH
   becker.robots.Wall 1 10 Direction.NORTH

   becker.robots.Wall 5 7 Direction.NORTH
   becker.robots.Wall 5 8 Direction.NORTH
   becker.robots.Wall 5 9 Direction.NORTH
   becker.robots.Wall 5 10 Direction.NORTH
   becker.robots.Wall 4 7 Direction.SOUTH
   becker.robots.Wall 4 8 Direction.SOUTH
   becker.robots.Wall 4 9 Direction.SOUTH
   becker.robots.Wall 4 10 Direction.SOUTH

   becker.robots.Wall 1 1 Direction.WEST
   becker.robots.Wall 2 1 Direction.WEST
   becker.robots.Wall 3 1 Direction.WEST
   becker.robots.Wall 4 1 Direction.WEST
   becker.robots.Wall 5 1 Direction.WEST
   becker.robots.Wall 6 1 Direction.WEST
   

   becker.robots.Wall 1 10 Direction.EAST
   becker.robots.Wall 2 10 Direction.EAST
   becker.robots.Wall 3 10 Direction.EAST
   becker.robots.Wall 4 10 Direction.EAST
   becker.robots.Wall 5 10 Direction.EAST
   
   becker.robots.Wall 1 2 Direction.EAST
   becker.robots.Wall 1 3 Direction.WEST
   becker.robots.Wall 2 2 Direction.EAST
   becker.robots.Wall 2 3 Direction.WEST
   becker.robots.Wall 3 2 Direction.EAST
   becker.robots.Wall 3 3 Direction.WEST
   becker.robots.Wall 4 2 Direction.EAST
   becker.robots.Wall 4 3 Direction.WEST
   becker.robots.Wall 5 2 Direction.EAST
   becker.robots.Wall 5 3 Direction.WEST

   becker.robots.Wall 1 4 Direction.EAST
   becker.robots.Wall 1 5 Direction.WEST
   becker.robots.Wall 2 4 Direction.EAST
   becker.robots.Wall 2 5 Direction.WEST
   becker.robots.Wall 3 4 Direction.EAST
   becker.robots.Wall 3 5 Direction.WEST
   becker.robots.Wall 4 4 Direction.EAST
   becker.robots.Wall 4 5 Direction.WEST
   becker.robots.Wall 5 4 Direction.EAST
   becker.robots.Wall 5 5 Direction.WEST


   becker.robots.Wall 1 6 Direction.EAST
   becker.robots.Wall 1 7 Direction.WEST
   becker.robots.Wall 2 6 Direction.EAST
   becker.robots.Wall 2 7 Direction.WEST
   becker.robots.Wall 3 6 Direction.EAST
   becker.robots.Wall 3 7 Direction.WEST
   becker.robots.Wall 4 6 Direction.EAST
   becker.robots.Wall 4 7 Direction.WEST
   becker.robots.Wall 5 6 Direction.EAST
   becker.robots.Wall 5 7 Direction.WEST
   
   
   becker.robots.Wall 6 1 Direction.SOUTH
   becker.robots.Wall 6 2 Direction.SOUTH
   becker.robots.Wall 6 3 Direction.SOUTH
   becker.robots.Wall 6 4 Direction.SOUTH
   becker.robots.Wall 6 5 Direction.SOUTH
   becker.robots.Wall 6 6 Direction.SOUTH
   becker.robots.Wall 6 7 Direction.SOUTH
   becker.robots.Wall 6 8 Direction.SOUTH
   becker.robots.Wall 6 9 Direction.SOUTH
   becker.robots.Wall 6 10 Direction.SOUTH
